Nombre_Modelo,Modelo,Flexible,MAE_Mean,MAE_Std,MAPE_Mean,MAPE_Std,R2_Mean,Acc_Mean,F1_Mean,Best_R2,Best_MAE,Best_MAPE,Hidden_Dim,Dropout,LR
STGNN_SAGE_16_0.5_0.1_flex,STGNN,True,0.8858232975006104,0.09953607244659116,0.13872270584106444,0.03125125570956484,0.2249976634979248,0.8638095238095238,0.8394057971014494,0.6878266334533691,0.9035046696662903,0.18924885988235474,16,0.5,0.1
STGNN_SAGE_16_0.5_0.01_flex,STGNN,True,0.9398808240890503,0.19808371410872674,0.1491310030221939,0.03955712566743969,0.0941900372505188,0.8104761904761905,0.7971547982502798,0.6315232515335083,1.099766492843628,0.20738865435123444,16,0.5,0.01
STGNN_SAGE_16_0.5_0.005_flex,STGNN,True,0.9179509401321411,0.15705867670251106,0.15420836359262466,0.04941769874129367,0.14013198614120484,0.8095238095238095,0.7896727244843186,0.5105706453323364,1.011035442352295,0.23565243184566498,16,0.5,0.005
STGNN_SAGE_16_0.5_0.001_flex,STGNN,True,1.0711747765541078,0.2273108103224176,0.1774216666817665,0.07054597788793152,-0.05348659753799438,0.7961904761904762,0.7769071742450843,0.42766088247299194,0.9287617802619934,0.14859174191951752,16,0.5,0.001
STGNN_SAGE_32_0.0_0.1_flex,STGNN,True,0.8998054623603821,0.10075424128086942,0.14021616280078888,0.016110365677774942,0.08921550512313843,0.8076190476190476,0.8012120895123183,0.7823922634124756,0.7251333594322205,0.16522060334682465,32,0.0,0.1
STGNN_SAGE_32_0.0_0.01_flex,STGNN,True,0.9138030529022216,0.11314617824474142,0.13596569001674652,0.01940043633006602,0.23271809816360473,0.8095238095238095,0.8034384421426195,0.7642626762390137,0.8866815567016602,0.1588307023048401,32,0.0,0.01
STGNN_SAGE_32_0.0_0.005_flex,STGNN,True,0.8318454384803772,0.1073102411130596,0.13783784955739975,0.046722668739541215,0.3605181694030762,0.8495238095238096,0.8268212677793152,0.6404163837432861,0.8849315643310547,0.2125241607427597,32,0.0,0.005
STGNN_SAGE_32_0.0_0.001_flex,STGNN,True,0.9514295816421509,0.13797377695168478,0.14842532724142074,0.030346378445189583,0.1807020425796509,0.7828571428571429,0.7648155816271759,0.6346487402915955,1.1088368892669678,0.1960160732269287,32,0.0,0.001
STGNN_SAGE_32_0.2_0.1_flex,STGNN,True,0.9767303466796875,0.12122487883296813,0.15393457561731339,0.039594228689338345,0.11367900371551513,0.7809523809523811,0.7565151515151516,0.5827881097793579,0.8693981170654297,0.1331898272037506,32,0.2,0.1
STGNN_SAGE_32_0.2_0.01_flex,STGNN,True,0.8620566725730896,0.09154231984294459,0.13796133697032928,0.04315924404847542,0.23813246488571166,0.8095238095238095,0.7992669273828693,0.6636478900909424,0.7073947191238403,0.09260224550962448,32,0.2,0.01
STGNN_SAGE_32_0.2_0.005_flex,STGNN,True,0.9203362941741944,0.15058386118586142,0.13904768824577332,0.02635724599982447,0.23906388282775878,0.7961904761904762,0.7802193083352503,0.6484704613685608,1.0960801839828491,0.17467612028121948,32,0.2,0.005
STGNN_SAGE_32_0.2_0.001_flex,STGNN,True,0.9452613234519959,0.2131950676075474,0.1606895610690117,0.06023310033211435,0.11996864080429077,0.8238095238095238,0.8087928073000537,0.6137596368789673,0.7327637672424316,0.1059512048959732,32,0.2,0.001
STGNN_SAGE_32_0.3_0.1_flex,STGNN,True,1.0092320084571837,0.08537219580191763,0.16025210320949554,0.03879818249746793,0.03469254970550537,0.74,0.7026580086580086,0.4942682385444641,1.1016525030136108,0.22469832003116608,32,0.3,0.1
STGNN_SAGE_32_0.3_0.01_flex,STGNN,True,0.8289003849029541,0.09078181112934913,0.12800288051366807,0.03039984056129497,0.34869563579559326,0.8228571428571427,0.8064097845257265,0.7343729734420776,0.9399459362030029,0.1752847284078598,32,0.3,0.01
STGNN_SAGE_32_0.3_0.005_flex,STGNN,True,0.8191951632499694,0.09983136531761387,0.12999076247215272,0.024213692185761776,0.3231395363807678,0.8361904761904763,0.8194879344459818,0.7874714136123657,0.7511882781982422,0.1634247601032257,32,0.3,0.005
STGNN_SAGE_32_0.3_0.001_flex,STGNN,True,0.872589373588562,0.13974074809008155,0.1416449725627899,0.038818077739170294,0.25075348615646365,0.8371428571428572,0.8232042905536423,0.6900007128715515,0.874035120010376,0.19374768435955048,32,0.3,0.001
STGNN_SAGE_32_0.5_0.1_flex,STGNN,True,0.9750647425651551,0.09832919914925387,0.15186919867992402,0.03411789613640275,0.08880443572998047,0.8066666666666666,0.7704761904761905,0.6057759523391724,0.8555899858474731,0.11877310276031494,32,0.5,0.1
STGNN_SAGE_32_0.5_0.01_flex,STGNN,True,0.8958825588226318,0.07425791542445605,0.14206682741642,0.02510186334771793,0.2601140856742859,0.821904761904762,0.8003678516302468,0.6897490620613098,0.8978492021560669,0.18123874068260193,32,0.5,0.01
STGNN_SAGE_32_0.5_0.005_flex,STGNN,True,0.8828904867172241,0.09390449412583048,0.14396708309650422,0.03342910950801802,0.24315067529678344,0.8085714285714287,0.792396837137493,0.6797201633453369,0.9172142148017883,0.19893164932727814,32,0.5,0.005
STGNN_SAGE_32_0.5_0.001_flex,STGNN,True,0.9434586882591247,0.19285469880969705,0.15096655040979384,0.04933586050509951,0.13613443374633788,0.8238095238095238,0.8051258127430335,0.5925498008728027,1.1630864143371582,0.22833195328712463,32,0.5,0.001
STGNN_SAGE_64_0.0_0.1_flex,STGNN,True,0.9014873027801513,0.19844541030890414,0.1446946829557419,0.05648730037918393,0.27857730388641355,0.82,0.7991040564373898,0.5429245233535767,0.8752487897872925,0.13535386323928833,64,0.0,0.1
STGNN_SAGE_64_0.0_0.01_flex,STGNN,True,0.8817925333976746,0.09928019355660422,0.1315383344888687,0.02627183153240334,0.2852720499038696,0.8095238095238095,0.7875526416685836,0.6893913745880127,0.9702319502830505,0.1687999665737152,64,0.0,0.01
